start_station_name,end_station_name,member_casual,avgTemp,season,date,day_name,time_period,rideable_type,daily_rides,trip_duration
Bergen Ave,Sip Ave,member,1.4,winter,2022-01-03,Monday,Afternoon,electric_bike,832,294.0
Leonard Gordon Park,Lincoln Park,casual,1.4,winter,2022-01-03,Monday,Afternoon,electric_bike,832,1312.0
Jersey & 3rd,,member,1.4,winter,2022-01-03,Monday,Evening,classic_bike,832,24235.0
Hoboken Terminal - Hudson St & Hudson Pl,McGinley Square,member,1.4,winter,2022-01-03,Monday,Morning,classic_bike,832,1138.0
Grove St PATH,Jersey & 3rd,member,1.4,winter,2022-01-03,Monday,Afternoon,classic_bike,832,178.0
11 St & Washington St,Madison St & 10 St,member,1.4,winter,2022-01-03,Monday,Morning,electric_bike,832,179.0
South Waterfront Walkway - Sinatra Dr & 1 St,11 St & Washington St,member,1.4,winter,2022-01-03,Monday,Evening,classic_bike,832,428.0
Columbus Drive,11 St & Washington St,member,1.4,winter,2022-01-03,Monday,Morning,classic_bike,832,1589.0
Madison St & 10 St,8 St & Washington St,member,1.4,winter,2022-01-03,Monday,Evening,classic_bike,832,431.0
12 St & Sinatra Dr N,Paulus Hook,member,-2.7,winter,2022-01-04,Tuesday,Morning,classic_bike,934,1176.0
Madison St & 1 St,Hoboken Terminal - Hudson St & Hudson Pl,member,-2.7,winter,2022-01-04,Tuesday,Evening,electric_bike,934,207.0
Hoboken Terminal - River St & Hudson Pl,12 St & Sinatra Dr N,member,-2.7,winter,2022-01-04,Tuesday,Evening,classic_bike,934,550.0
Christ Hospital,Clinton St & Newark St,member,-2.7,winter,2022-01-04,Tuesday,Evening,classic_bike,934,446.0
City Hall - Washington St & 1 St,Clinton St & Newark St,member,-2.7,winter,2022-01-04,Tuesday,Evening,classic_bike,934,92.0
Hoboken Terminal - River St & Hudson Pl,12 St & Sinatra Dr N,member,-2.7,winter,2022-01-04,Tuesday,Evening,electric_bike,934,326.0
Hoboken Terminal - River St & Hudson Pl,12 St & Sinatra Dr N,member,-2.7,winter,2022-01-04,Tuesday,Afternoon,classic_bike,934,435.0
Paulus Hook,Paulus Hook,member,-2.7,winter,2022-01-04,Tuesday,Afternoon,classic_bike,934,1822.0
Harborside,Columbus Dr at Exchange Pl,member,-2.7,winter,2022-01-04,Tuesday,Evening,classic_bike,934,101.0
Harborside,Columbus Dr at Exchange Pl,member,-2.7,winter,2022-01-04,Tuesday,Evening,classic_bike,934,140.0
Harborside,Columbus Dr at Exchange Pl,member,-2.7,winter,2022-01-04,Tuesday,Morning,electric_bike,934,303.0
Brunswick & 6th,Brunswick & 6th,member,-2.7,winter,2022-01-04,Tuesday,Afternoon,classic_bike,934,1002.0
Liberty Light Rail,City Hall,member,-2.7,winter,2022-01-04,Tuesday,Afternoon,classic_bike,934,387.0
Clinton St & Newark St,Hoboken Terminal - Hudson St & Hudson Pl,member,-2.7,winter,2022-01-04,Tuesday,Morning,classic_bike,934,170.0
Columbus Dr at Exchange Pl,Harborside,member,-2.7,winter,2022-01-04,Tuesday,Night,classic_bike,934,91.0
Columbus Dr at Exchange Pl,Harborside,member,-2.7,winter,2022-01-04,Tuesday,Morning,classic_bike,934,118.0
